stop_id,ligne,stop_name,stop_desc,stop_lat,stop_lon
10CRD2,2,CHARDINE,,49.648592,-1.571472
10CSM1,4,CHAPELLE ST MICHEL,,49.612698,-1.600253
10CSM2,4,CHAPELLE ST MICHEL,,49.612653,-1.600216
10CTR1,3-4-5,CHANTIER,,49.643397,-1.629129
10CTR2,3-4-5,CHANTIER - ARSENAL,,49.643981,-1.631538
10CUR1,4,CURIE,,49.607985,-1.607264
10CUR2,4,CURIE,,49.607943,-1.607132
10CVE1,5,LES COLS VERTS,,49.644603,-1.575757
10CVE2,5,LES COLS VERTS,,49.644348,-1.575672
10DAN1,0,DANTON,,49.647027,-1.665896
10DAN2,0,DANTON,,49.647081,-1.666131
10DEB1,4,DEBUSSY,,49.608650,-1.601557
10DEB2,4,DEBUSSY,,49.608587,-1.601670
10DEB3,0,DEBUSSY,,49.609278,-1.599877
10DIG1,2,DIGARD,,49.621512,-1.660851
10DIX1,5,DIXMUDE,,49.663641,-1.685011
10DIX2,5,DIXMUDE,,49.664099,-1.685286
10DUB1,3,DUBOST,,49.644094,-1.669218
10DUB2,3,DUBOST,,49.644265,-1.669248
10ECT1,3,EGLANTINE CHATEAU,,49.634437,-1.566828
10EGL1,1-4-6,EGLISE,,49.627418,-1.625432
10EGL2,1-4-6,EGLISE,,49.627380,-1.625663
10EGL5,1-4-6,EGLISE,,49.645831,-1.650336
10EGL6,1-4-6,EGLISE,,49.645549,-1.651189
10ELE1,2-3,ELEIS-J.HEBERT,,49.635392,-1.616950
10ELE2,2-3,ELEIS-J.HEBERT,,49.635406,-1.617086
10EPB1,5,EPINAY BAS,,49.664642,-1.688086
10EPB2,5,EPINAY BAS,,49.664722,-1.688019
10EPC2,5,EPINAY CENTRE,,49.663936,-1.692041
10EPH1,4-5,EPINAY HAUT,,49.662970,-1.696074
10EPH2,4-5,EPINAY HAUT,,49.663008,-1.696936
10EUR1,2,EUROPE,,49.645591,-1.583719
10EUR2,2,EUROPE,,49.645581,-1.583934
10FDC1,3-4-5,F. DES CAVELIERS,,49.640650,-1.628288
10FJT1,2,FJT,,49.636603,-1.634355
10FJT2,2,FJT,,49.636624,-1.634229
10FLO1,3,LES FLOTTES,,49.636702,-1.570878
10FLO2,3,LES FLOTTES,,49.636040,-1.570311
10FOE1,6,FOEDRE,,49.628031,-1.653762
10FOE2,6,FOEDRE,,49.628109,-1.653811
10FON1,3,FONDERIE,,49.642264,-1.584322
10FON2,3,FONDERIE,,49.642307,-1.583965
10FOR1,1,LES FOURCHES,,49.640250,-1.645726
10FRA1,4,FRACHON,,49.638981,-1.653651
10FRA2,4,FRACHON,,49.638852,-1.653525
10FRN1,4,LES FRENES,,49.657700,-1.699145
10FRY1,0,FERRY,,49.651618,-1.679548
10FRY2,0,FERRY,,49.651612,-1.679754
10GDM1,0,GENDARMERIE,,49.619588,-1.596932
10GDM2,0,GENDARMERIE,,49.619643,-1.596633
10GDR1,3,GRANDE RUE,,49.640637,-1.575533
10GDR2,3,GRANDE RUE,,49.640552,-1.574706
10GLA1,0,HAMEAU QUEVILLON,,49.625395,-1.587057
10GLA2,0,HAMEAU QUEVILLON,,49.625196,-1.587123
10GMA1,2,GARE MARITIME,,49.643572,-1.601861
10GMA2,2,GARE MARITIME,,49.643602,-1.602134
10GNT1,4,GENETS,,49.604065,-1.608557
10GNT2,4,GENETS,,49.603725,-1.607615
10GRI1,6,GRIMESNIL,,49.628930,-1.656171
10GRI2,6,GRIMESNIL,,49.628924,-1.655976
10GRR1,3,GUERRANDERIE,,49.639728,-1.602181
10GRR2,3,GUERRANDERIE,,49.639866,-1.601847
10GSN1,4-5-6,GARE SNCF,,49.633631,-1.620414
10GSN2,4-5-6,GARE SNCF,,49.633928,-1.621571
10GUE1,0,GUEROULT,,49.662291,-1.712036
10HAI1,0,HAINNEVILLE HAUT,,49.653081,-1.677046
10HAI2,0,HAINNEVILLE HAUT,,49.653267,-1.676916
10HAM1,0,HAMEAU VIGOT,,49.622335,-1.584465
10HAM2,0,HAMEAU VIGOT,,49.622339,-1.584700
10HAP1,0,LA HAPPE,,49.643978,-1.547857
10HAP2,0,LA HAPPE,,49.644020,-1.547926
10HBU1,0,HAMEAU BURNEL,,49.644755,-1.542759
10HBU2,0,HAMEAU BURNEL,,49.644766,-1.543083
10HDI1,3-5,HOTEL DES IMPOTS,,49.646796,-1.644247
10HDI2,3-5,HOTEL DES IMPOTS,,49.646839,-1.643979
10HDV1,3-4,HOTEL DE VILLE,,49.642620,-1.625067
10HET2,4,LESHETRES,,49.658626,-1.702256
10HGA1,0,HAMEAU GARCONNET,,49.645053,-1.535846
10HGA2,0,HAMEAU GARCONNET,,49.645099,-1.536014
10HLU1,0,HAMEAU DE LUCE,,49.612596,-1.562750
10HLU2,0,HAMEAU DE LUCE,,49.612122,-1.562682
10HMA1,3-5,HOPITAL MARITIME,,49.645690,-1.639339
10HMA2,3-5,HOPITAL MARITIME,,49.645772,-1.638566
10HME1,5,HAMEAU DE LA MER,,49.658160,-1.676921
10HME2,5,HAMEAU DE LA MER,,49.658057,-1.676656
10HOM1,3,HOMET,,49.644542,-1.658549
10HOM2,3,HOMET,,49.644598,-1.658749
10HOU1,4,HOULGATTE,,49.654163,-1.677713
10HOU2,4,HOULGATTE,,49.654234,-1.677774
10HPA1,3,HOPITAL PASTEUR,,49.638447,-1.611949
10HPA2,3,HOPITAL PASTEUR,,49.638608,-1.613242
10HPH1,0,HAMEAU PHARES,,49.637121,-1.545407
10HPH2,0,HAMEAU PHARES,,49.637308,-1.545484
10HQU1,0,HAMEAU QUEVASTRE,,49.621263,-1.578221
10HQU2,0,HAMEAU QUEVASTRE,,49.621212,-1.578425
10HTR1,0,HAMEAU TRUFFERT,,49.616958,-1.569172
10HTR2,0,HAMEAU TRUFFERT,,49.616954,-1.569322
10HUI1,3-4,HUIT MAI,,49.649067,-1.653021
10HUI2,3-4,HUIT MAI,,49.648434,-1.653579
10HUI3,3-4,HUIT MAI,,49.648612,-1.652603
10HUI4,3-4,HUIT MAI,,49.649394,-1.654305
10ILO1,2,L'ILOT Z ENFANTS,,49.644471,-1.588029
10ILO2,2,L'ILOT Z ENFANTS,,49.644610,-1.587773
10ING1,0,INGENIEUR BERTIN,,49.612998,-1.581231
10ING2,0,INGENIEUR BERTIN,,49.612770,-1.581173
10IUT1,1,IUT,,49.635246,-1.646066
10IUT2,1,IUT,,49.635281,-1.645925
10JAR1,4,JARDIN PUBLIC,,49.631976,-1.617671
10JAR2,4,JARDIN PUBLIC,,49.631947,-1.617545
10JAU1,0,JAURES,,49.647883,-1.683715
10JAU2,0,JAURES,,49.647983,-1.683641
10JBO3,6,JEAN BOUIN,,49.633437,-1.586200
10JBO4,6,JEAN BOUIN,,49.633290,-1.585973
10JEA1,5,JEAN ZAY,,49.639520,-1.583026
10JEA2,5,JEAN ZAY,,49.639171,-1.583841
10JGO2,5,JEAN GOUBERT,,49.649027,-1.585065
10JJR1,1-6,JEAN JAURES,,49.633594,-1.622474
10JMO1,5-6,JEAN MOULIN,,49.633796,-1.596932
10JMO2,5-6,JEAN MOULIN,,49.633765,-1.597161
10JMS1,5-6,JEAN MOULIN,,49.656885,-1.674231
10JMS2,5-6,JEAN MOULIN,,49.656836,-1.674354
10LAV1,3,LES LAVANDES,,49.643525,-1.664888
10LAV2,3,LES LAVANDES,,49.643571,-1.664726
10LCA1,5-6,LECARPENTIER,,49.631744,-1.610231
10LCO1,1-4,LE CONQUERANT,,49.639781,-1.639735
10LCO2,1-4,LE CONQUERANT,,49.639932,-1.639760
10LCP2,5-6,LECARPENTIER,,49.631839,-1.610450
10LE 1,0,LE TOT,,49.641422,-1.660363
10LEB1,4,LEBAS,,49.642497,-1.647103
10LEB2,4,LEBAS,,49.642355,-1.647329
10LEC1,4,LECRES,,49.639283,-1.651304
10LEC2,4,LECRES,,49.638985,-1.652146
10LEO1,0,LEO LAGRANGE,,49.646803,-1.681101
10LEO2,0,LEO LAGRANGE,,49.646824,-1.681254
10LLM1,5-6,LA LONGUE MARE,,49.634582,-1.593507
10LLM2,5-6,LA LONGUE MARE,,49.634605,-1.593726
10LMA1,0,LA MARCHE,,49.666568,-1.700993
10LMQ1,2,LEMARESQUIER,,49.648621,-1.575071
10LMQ2,2,LEMARESQUIER,,49.648707,-1.575155
10LMW1,2,ZONE EMR,,49.650831,-1.595914
10LNO1,5,LA NOE,,49.640551,-1.581049
10LNO2,5,LA NOE,,49.640646,-1.581724
10LOG1,4,LA LOGE,,49.608457,-1.615567
10LOG2,4,LA LOGE,,49.608497,-1.615502
10LON1,3,LONGUES PIERRES,,49.649022,-1.664715
10LON2,3,LONGUES PIERRES,,49.649119,-1.663851
10LOU2,0,LOUP PENDU,,49.616409,-1.655712
10LPL1,3,LA PLACE,,49.639862,-1.571333
10LPL2,3,LA PLACE,,49.640006,-1.571764
10LUM1,5-6,LUMIERE,,49.632541,-1.598972
10LUM2,5-6,LUMIERE,,49.632470,-1.599233
10LYS1,0,LYCEE SAUXMARAIS,,49.638267,-1.591631
10MAG1,0,LA GLACERIE MAIRIE,,49.614008,-1.602831
10MAG2,0,LA GLACERIE MAIRIE,,49.614143,-1.603318
10MAX1,4-5,QUERQUEVILLE MAIRIE,,49.661809,-1.696831
10MAX3,4-5,QUERQUEVILLE MAIRIE,,49.662016,-1.695860
10MED1,3,MEDERIC,,49.641752,-1.590429
10MED2,3,MEDERIC,,49.641992,-1.589483
10MEN1,1-2,MENDES-FRANCE,,49.634046,-1.623121
10MEN2,1-2,MENDES FRANCE,,49.634589,-1.626762
10MES1,4,MESSENT,,49.657288,-1.708580
10MES2,4,MESSENT,,49.657676,-1.709411
10MEZ1,0,MEZINE,,49.617582,-1.574144
10MEZ2,0,MEZINE,,49.617300,-1.573998
10MGT1,5,LES MARGUERITES,,49.643941,-1.580060
10MGT2,5,LES MARGUERITES,,49.644030,-1.580403
10MIL1,1,MILLET,,49.640029,-1.642385
10MIL2,1,MILLET,,49.640223,-1.642847
10MIL3,0,LYCEE MILLET,,49.639816,-1.642318
10MLL1,2,LES MIELLES,,49.645184,-1.597006
10MLL2,2,LES MIELLES,,49.645238,-1.597022
10MME1,0,LA MER,,49.666060,-1.698489
10MOR1,4,LES MOURETS,,49.657346,-1.705447
10MOR2,4,LES MOURETS,,49.657359,-1.705582
10MOT1,0,LA MOTTERIE,,49.622158,-1.602792
10MOT2,0,LA MOTTERIE,,49.622185,-1.602916
10MRT1,6,MAISON DE RETRAITE,,49.628673,-1.648565
10MRT2,6,MAISON DE RETRAITE,,49.628656,-1.648824
10MTF1,0,MONT FAUCON,,49.663911,-1.699796
10MTT1,4,MONTMARTRE,,49.617788,-1.607130
10MTT2,4,MONTMARTRE,,49.617877,-1.607151
10MXR1,4,LA GLACERIE MARETTES,,49.605870,-1.598971
10MXR2,4,LA GLACERIE MARETTES,,49.605884,-1.599251
10MYO1,5,LES MYOSOTIS,,49.643101,-1.580585
10MYO2,5,LES MYOSOTIS,,49.642844,-1.580618
10NMD1,4,NORMANDIE,,49.615982,-1.598907
10NMD2,4,NORMANDIE,,49.616158,-1.598764
10NOR1,3,NORTHEIM,,49.641329,-1.579244
10NOR2,3,NORTHEIM,,49.641393,-1.579122
10NQT1,0,LE BECQUET,,49.653031,-1.551208
10NQT2,0,LE BECQUET,,49.653071,-1.551307
10ODR1,4,OCTROI DU ROULE,,49.624966,-1.616645
10ODR2,4,OCTROI DU ROULE,,49.626408,-1.617231
10OLY1,1-6,OLYMPE DE GOUGES,,49.626170,-1.628770
10OYG2,1-6,OLYMPE DE GOUGES,,49.626254,-1.628962
